"id:ID","uri","label","extensible","notation","definition","identifier","alt_label","pref_label"
"37364","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142385","","","adverse drug reaction (ADR)","Any noxious and unintended response associated with the use of a drug in humans. NOTE: 1. Post-approval: an adverse event that occurs at doses normally used in man for prophylaxis, diagnosis, or therapy of diseases or for modification of physiological function. 2. Pre-approval: an adverse event that occurs at any dose and where a causal relationship is at least a reasonable possibility. 3. FDA 21 CFR 310.305 defines an adverse drug experience to include any adverse event, ""whether or not considered to be drug-related."" CDISC recognizes that current usage incorporates the concept of causality. [WHO Technical Report 498(1972); ICH E2A]","C142385","adverse drug experience","Adverse Drug Reaction"
"37365","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C41331","","","adverse event (AE)","Any untoward medical occurrence in a patient or clinical investigation subject administered a pharmaceutical product and which does not necessarily have a causal relationship with this treatment. an adverse event (AE) can therefore be any unintended sign (including an abnormal laboratory finding), symptom, or disease temporally associated with the use of a medicinal (investigational) product, whether or not related to the medicinal (investigational) product. NOTE: For further information, see the ICH Guideline for Clinical safety Data Management: Definitions and standards for expedited Reporting. [After ICH E2A] See also serious adverse event, serious adverse experience.","C41331","adverse experience;side effects","Adverse Event"
"37366","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C41332","","","adverse reaction","A response to a medicinal product, devices, or procedures, which is noxious and unintended. Response in this context means that a causal relationship between a medicinal product and an adverse event is at least a reasonable possibility. In the context of drug development, the term is used as a synonym of adverse drug reaction. (After ICH E2A)","C41332","","Adverse Reaction"
"37367","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C156645","","","AEGIS (ADROIT Electronically Generated Information Service)","A subscription service that provides subscribing organizations with access to adverse drug reaction data from the Medicines Control Agency ADROIT (Adverse Drug Reaction On-line Information Tracking) database.","C156645","","ADROIT Electronically Generated Information Service"
"37368","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C156646","","","AHIC (American Health Information Community)","A US government-charted commission providing input and recommendations to HHS on how to make health records digital and interoperable, and assure the privacy and security of those records (HITSP).","C156646","","American Health Information Community"
"37369","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C156622","","","ALCOA +","Acronym for a number of attributes or dimensions included in ALCOA, plus the following: Complete, Consistent, Enduring, and Available when needed. NOTE: ALCOA + is a recent way to summarily refer to the attributes or dimensions of data integrity.) After EMA Reflection Paper on eSOURCE in effect since 2010. See also WHO Annex V, Guidance on Good Data and Record Management Practices. See also ALCOA, data integrity.","C156622","ALCOA Plus","Attributable, Legible, Contemporaneous, Original, Accurate Plus"
"37370","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C156621","","","ALCOA","Acronym for a number of attributes or dimensions that are considered of universal importance for data integrity of source data and the records that hold those data. These include that the data and records be: A-Attributable (to both subject and to any actor on a record); L-Legible (available for human review, possible to read electronically if an encoded eRecord); C-Contemporaneous (timing of data collection with respect to the time the observation is made: the more promptly an observation is recorded, the better the quality.); O-Original (the first suitably accurate and reliable recording of data for the intended purpose); A-Accurate (free from error especially as the result of care; an accurate diagnosis conforming exactly to truth or to a standard). NOTE: ALCOA stemmed from FDA's Dr. Stan Woollen's talks in the early 90's on earmarks for the quality of records and has become a widespread acronym reflecting best practices for clarity and usability of data. [From EMA Reflection Paper on eSOURCE in effect since 2010] See also: Data Quality and the Origin of ALCOA. See also: Six Primary Dimensions for Data Quality Assessment. See also ALCOA+, data integrity.","C156621","","Attributable, Legible, Contemporaneous, Original, Accurate"
"37371","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142753","","","alert","To cause a high-priority signal (or warning) to be transmitted to the relevant stakeholder by way of the local system or another system (usually according to an established set of rules). For example, the system may transmit an alert to a patient's cardiologist that the patient has experienced another heart attack. another example is that the pharmacy system may transmit an alert to the prescribing physician that a potentially dangerous drug-drug interaction may occur based on the current list of medications. another example is that the system may notify a patient's physician that laboratory results (that are not within normal limits) are available. [HL7 EHR-SFM Glossary of Terms, 2010]","C142753","","System Alert"
"37372","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C16275","","","algorithm","Step-by-step procedures for making a series of choices among alternative decisions to reach a calculated result or decision. NOTE: An algorithm may be used clinically to guide treatment decisions for an individual patient on the basis of the patient's clinical outcome or result. [after AMA Style Guide, 9th Edition]","C16275","","Algorithm"
"37373","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142387","","","alpha error","The likelihood that a relationship observed between two variables is due to chance. The probability of a Type 1 error. [Modified from AMA Manual of Style]","C142387","","Alpha Error"
"37374","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C41200","","","amendment","A written description of a change(s) to, or formal clarification of, a document.","C41200","","Amendment"
"37375","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142388","","","American National Standards Institute (ANSI)","Founded in 1918, ANSI itself does not develop standards. ANSI's roles include serving as the coordinator for US voluntary standards efforts, acting as the approval body to recognize documents developed by other national organizations as American National Standards, acting as the US representative in international and regional standards efforts, and serving as a clearinghouse for national and international standards development information. [HL7]","C142388","","American National Standards Institute"
"37376","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142389","","","analysis dataset","An organized collection of data or information with a common theme arranged in rows and columns and represented as a single file; comparable to a database table. NOTE: standardizing analysis datasets is intended to make review and assessment of analysis more consistent [ADaM].","C142389","","Analysis Dataset"
"37377","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142390","","","analysis set","A set of subjects whose data are to be included in the main analyses. This should be defined in the statistical section of the protocol. NOTE: There are a number of potential analysis sets, including, for example, the set based upon the intent-to-treat principle. [ICH E9]","C142390","","Analysis Set of Subjects"
"37378","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142391","","","analysis variables","Variables used to test the statistical hypotheses identified in the protocol and analysis plan; variables to be analyzed. See also variable.","C142391","","Analysis Variable"
"37379","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142436","","","anchor","Designation for a planned activity, often marking the transition between epochs or elements of a clinical study plan (e.g., ""FPFV-first patient first visit"").","C142436","","Clinical Study Anchor"
"37380","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142392","","","anonymization","The process of protecting privacy that removes the association between the identifying data and the data subject. In anonymized data, the patient cannot be identified by the recipient of the information. [ISO TS 25237:2008; TransCelerate Protection of Personal Data in Clinical Documents - A Model Approach]","C142392","","Anonymization"
"37381","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C156629","","","anticipated adverse event","Other adverse events that are not study endpoints and are not ""expected"" (i.e., because they are not in the investigator's brochure) that can be anticipated to occur with some frequency during the course of the trial, regardless of drug exposure, depending on the patient population and disease under study. NOTE: Examples of such ""anticipated"" events include known consequences of the underlying disease or condition under investigation, events anticipated from any background regimen, or re-emergence or worsening of a condition relative to pretreatment baseline. [after FDA, Guidance for Industry and Investigators: Safety Reporting Requirements for INDs and BA/BE Studies]","C156629","","Anticipated Adverse Event"
"37382","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142393","","","applet","A small application, typically downloaded from a server.","C142393","","Applet"
"37383","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142394","","","applicable regulatory requirement(s)","Any law(s) or regulation(s) addressing the conduct of clinical trials of investigational products. [ICH E6(R2) Glossary, 1.4]","C142394","","Applicable Regulatory Requirement"
"37384","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142551","","","approvable letter","An official communication from FDA to an NDA/ BLA sponsor that lists issues to be resolved before an approval can be issued. [Modified from 21 CFR 314.3; Guidance to industry and FDA staff (10/08/2003)]","C142551","","FDA Approvable Letter"
"37385","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C70800","","","approval (in relation to Institutional Review Boards)","The affirmative decision of the IRB that the clinical trial has been reviewed and may be conducted at the institution site within the constraints set forth by the IRB, the institution, good clinical practice (GCP), and the applicable regulatory requirements. [ICH E6]","C70800","","Institutional Review Board Approval"
"37386","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C70799","","","approval letter","An official communication from FDA to inform an applicant of a decision to allow commercial marketing consistent with conditions of approval. [Modified from 21 CFR 314.3; Guidance to industry and FDA staff (10/08/2003)]","C70799","","Approval Document"
"37387","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C15538","","","arm (protocol)","A planned path through the study that describes which treatments and/or controls apply to the subjects as they progress through the study. [After BRIDG] See also control, control group.","C15538","","Protocol Treatment Arm"
"37388","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C16309","","","artificial intelligence (AI)","A system's ability to correctly interpret external data, to learn from such data, and to use those learnings to achieve specific goals and tasks through flexible adaptation. [Kaplan, A; Haenlein, M (1 January 2019) Business Horizons; IEEE-USA POSITION STATEMENT. Artificial Intelligence Research, Development & Regulation Adopted by the IEEE-USA, Board of Directors (February 2017)] See also machine learning, deep learning, natural language processing, synthetic data.","C16309","","Artificial Intelligence"
"37389","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C25217","","","assessment","A measurement, evaluation, or judgment for a study variable pertaining to the status of a subject. NOTE: Assessments are usually measured at a certain time, and usually are not compounded significantly by combining several simultaneous measurements to form a derived assessment (e.g., BMI) or a result of statistical analysis. The term assessment is intended to invoke some degree of evaluation or judgment concerning subject status. Refer to COA glossary of terms. See also variable, outcome, endpoint. [After Clinical Outcome Assessment (COA) Glossary of Terms FDA FDA eCOA Glossary]","C25217","","Assessment"
"37390","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C25358","","","attributable","A quality by which records and data can be traced back to the subject to whom they pertain, as well as to those persons who have acted on the records.","C25358","","Attribution"
"37391","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C62618","","","attribute (n)","In data modeling, refers to specific items of data that can be collected for a class.","C62618","","Computer Programming Object Attribute"
"37392","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C115469","","","audit certificate","Document that certifies that an audit has taken place (at an investigative site, CRO, or clinical research department of a pharmaceutical company). [ICH E6 Glossary]","C115469","","Audit Certificate"
"37393","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142395","","","audit report","A written evaluation by the auditor of the results of the audit. [Modified from ICH E6 Glossary]","C142395","","Audit Report"
"37394","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142396","","","audit trail","A process that captures details such as additions, deletions, or alterations of information in an electronic record without obliterating the original record. An audit trail facilitates the reconstruction of the history of such actions relating to the electronic record. [after ICH E6, CSUICI]","C142396","","Audit Trail"
"37395","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C45269","","","audit","A systematic and independent examination of trial-related activities and documents to determine whether the evaluated trial-related activities were conducted and the data were recorded, analyzed, and accurately reported according to the protocol, sponsor's standard operating procedures (SOPs), good clinical practice (GCP), and the applicable regulatory requirement(s). [ICH E6 Glossary]","C45269","","Audit"
"37396","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C156618","","","authorised auxiliary medicinal product","A medicinal product that is currently authorised for marketing in a country or region, that is related to the specific needs of the clinical trial as described in the protocol, but not as an investigational medicinal product, regardless of labelling of the auxiliary medicinal product. [after EU CTR]","C156618","","Authorized Auxiliary Medicinal Product"
"37397","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C156617","","","authorised investigational medicinal product","A medicinal product that is currently authorised for marketing in a country or region and used as an investigational medicinal product, irrespective of changes to the labelling of the medicinal product. [after EU CTR]","C156617","","Authorized Investigational Medicinal Product"
"37398","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C41192","","","authorization","The process of giving someone permission to do or have something. In multi-user computer systems, a system administrator defines for the system which users are allowed access to the system and what privileges of use are permitted. [HL7 EHR-S FM Glossary of Terms, 2010].","C41192","","Authorization"
"37399","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C156473","","","auxiliary medicinal product","A medicinal product that is related to the specific needs of the clinical trial as described in the protocol, but not as an investigational medicinal product. NOTE: Auxiliary medicinal products may be authorised for marketing in a country or region or non-authorised. [after EU-CTR]","C156473","","Auxiliary Medicinal Product"
"37400","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142397","","","back translation (natural language)","The process of translating a document that was translated from one language to another back to the original language. Used to ensure that consent forms, surveys, and other clinical trial documents will be clear and accurate in the translated form.","C142397","","Back Translation"
"37401","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142649","","","background material","Information pertinent to the understanding of a protocol. NOTE: Examples include investigator brochure, literature review, history, rationale, or other documentation that places a study in context or presents critical features.","C142649","","Protocol Background Material"
"37402","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C165822","","","background treatment","Medicinal products that are administered to each clinical trial subject, regardless of randomization group, a) to treat the indication which is the object of the study, or b) required in the protocol as part of standard care for a condition that is not the indication under investigation, and is relevant for the clinical trial design. [After Recommendations from the expert group on clinical trials for the implementation of Regulation (EU) No 536/2014' dd 28 June 2017]","C165822","","Background Treatment"
"37403","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142398","","","balanced study","Trial in which a particular type of subject is equally represented in each study group.","C142398","","Balanced Study"
"37404","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142399","","","bandwidth","An indicator of the throughput (speed) of data flow on a transmission path; the width of the range of frequencies on which a transmission medium carries electronic signals. All digital and analog signal channels have a bandwidth.","C142399","","Bandwidth"
"37405","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142400","","","baseline assessment","Assessment of subjects as they enter a trial and before they receive any treatment.","C142400","","Baseline Assessment"
"37406","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142401","","","baseline characteristics","Demographic, clinical, and other data collected for each participant at the beginning of the trial before the intervention is administered. NOTE: Randomized, controlled trials aim to compare groups of participants that differ only with respect to the intervention (treatment). although proper random assignment prevents selection bias, it does not guarantee that the groups are equivalent at baseline. any differences in baseline characteristics are, however, the result of chance rather than bias. The study groups should be compared at baseline for important demographic and clinical characteristics. Baseline data may be especially valuable when the outcome measure can also be measured at the start of the trial. [CONSORT statement]","C142401","","Baseline Characteristics"
"37407","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142402","","","baseline imbalance","A systematic error in creating intervention groups, such that they differ with respect to prognosis. That is, the groups differ in measured or unmeasured baseline characteristics because of the way participants were selected or assigned. NOTE: also used to mean that the participants are not representative of the population of all possible participants. [ICH E9]","C142402","","Baseline Imbalance"
"37408","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C165823","","","basket protocol","A type of master protocol designed to test a single investigational drug or drug combination in different populations defined by disease stage, histology, number of prior therapies, genetic or other biomarkers, or demographic characteristics. [After FDA DRAFT Guidance: Master Protocols: Efficient Clinical Trial Design Strategies to Expedite Development of Oncology Drugs and Biologics. September 2018 and Woodcock J, LaVange LM. Master Protocols to Study Multiple Therapies, Multiple Diseases, or Both. N Engl J Med. 2017 Jul 6;377(1):62-70.] See also master protocol.","C165823","","Basket Protocol"
"37409","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142403","","","Bayesian approaches","Approaches to data analysis that provide a posterior probability distribution for some parameter (e.g., treatment effect), derived from the observed data and a prior probability distribution for the parameter. The posterior distribution is then used as the basis for statistical inference. [ICH E9 Glossary]","C142403","","Bayesian Approach"
"37410","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142404","","","Bayesian statistics","Statistical approach named for Thomas Bayes (1701-1761) that has among its features giving a subjective interpretation to probability, accepting the idea that it is possible to talk about the probability of hypotheses being true and of parameters having particular values.","C142404","","Bayesian Statistics"
"37411","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142405","","","beta error","Probability of showing no significant difference when a true difference exists; a false acceptance of the null hypothesis. See also Type 2 error. [AMA Manual of style]","C142405","","Beta Error"
"37412","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C28232","","","bias","Bias refers to defects in study design, measurement, analysis or interpretation such that they cause a result to depart from the true value in a consistent direction. [after AMA Manual of style, ICH E9, CONSORT Statement]","C28232","","Bias"
"37413","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C16341","","","bioanalytical assays","Methods for quantitative measurement of a drug, drug metabolites, or chemicals in biological fluids.","C16341","","Bioassay"
"37414","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C70913","","","bioavailability","Rate and extent to which a drug is absorbed or is otherwise available to the treatment site in the body.","C70913","","Bioavailability"
"37415","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C71763","","","bioequivalence","Scientific basis on which drugs with the same active ingredient(s) are compared. NOTE: To be considered bioequivalent, the bioavailability of two products must not differ significantly when the two products are given in studies at the same dosage under similar conditions.","C71763","","Bioequivalence"
"37416","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C307","","","biological product","A product of biological origin applicable to the prevention, treatment, or cure of a disease or condition. Such products may include virus, therapeutic serum, toxin, antitoxin, vaccine, blood, blood component or derivative, allergenic product, protein, or analogous product. NOTE: Biological products may be produced through biotechnology in a living system, such as a microorganism, plant cell, or animal cell. Biological products are generally large, complex molecules and are often more difficult to characterize than small molecule drugs. [After 21 CFR 600.3; After FDA Biological Product Definitions] See also vaccine, cell therapy, gene therapy, pharmaceutical product, drug product, medicinal product.","C307","","Biological Agent"
"37417","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C71778","","","Biologics licensing application (BLA)","Biologics licensing application (BLA). an application to FDA for a license to market a new biologic product in the United states.","C71778","","Biologics License Application"
"37418","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C16342","","","biomarker","A defined characteristic that is measured as an indicator of normal biological processes, pathogenic processes, or responses to an exposure or intervention, including therapeutic interventions. Molecular, histologic, radiographic, or physiologic characteristics are types of biomarkers. A biomarker is not an assessment of how an individual feels, functions, or survives. Categories of biomarkers include: susceptibility/risk biomarker; diagnostic biomarker; monitoring biomarker; prognostic biomarker; predictive biomarker; safety biomarker; pharmacodynamic/response biomarker. [NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource, https://www.ncbi.nlm.nih.gov/books/NBK338448/]","C16342","biological marker","Biomarker"
"37419","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142406","","","biometric signature","A signature based on the verification of an individual's identity, based on measurement of the individual's physical feature(s) or repeatable action(s), where those features and/or actions are both unique to that individual, and measureable [21 CFR 11]","C142406","","Biometric Signature"
"37420","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C156644","","","biosimilar","A biological product that is highly similar to the reference product notwithstanding minor differences in clinically inactive components. This requires that there are no clinically meaningful differences between the biological product and the reference product in terms of the safety, purity, and potency of the product (see section 351(i)(2) of the PHS Act). [after FDA, Guidance for Industry: Quality Considerations in Demonstrating Biosimilarity of a Therapeutic Protein Product to a Reference Product]","C156644","","Biosimilar"
"37421","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C16347","","","biostatistics","Branch of statistics applied to the analysis of biological phenomena.","C16347","","Biostatistics"
"37422","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142407","","","blind review","Checking and assessing data prior to breaking the blind, for the purpose of finalizing the planned analysis. [Modified ICH E9]","C142407","","Blind Review"
"37423","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142408","","","blinded (masked) medications","Products that appear identical in size, shape, color, flavor, and other attributes to make it very difficult for subjects and investigators (or anyone assessing the outcome) to determine which medication is being administered.","C142408","","Blinded Medication"
"37424","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C70840","","","blinded study","A study in which the subject, the investigator, or anyone assessing the outcome is unaware of the treatment assignment(s). NOTE: Blinding is used to reduce the potential for bias. [Modified ICH E6 Glossary] See also blinding/masking, double-blind study, single-blind study, triple-blind study; contrast with open-label or unblinded study.","C70840","","Blinded Clinical Study"
"37425","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C49068","","","blinding","A procedure to limit bias by preventing subjects and/ or study personnel from identifying which treatments or procedures are administered, or from learning the results of tests and measures undertaken as part of a clinical investigation. NOTE: Masking, while often used synonymously with blinding, usually denotes concealing the specific study intervention used. [After ICH E6 (R2) Glossary, 1.10]. The term masking is often preferred to blinding in the field of ophthalmology. [from AMA Manual of Style]. See also double-blind study, single-blind study, triple-blind study. Contrast with open-label and/or unblinded study.","C49068","masking","Blinded"
"37426","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142701","","","branch","Point within a study design where there is an allocation of subject subsets to particular procedures or treatment groups.","C142701","","Study Branch"
"37427","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C80012","","","browser","Computer program that runs on the user's desktop computer and is used to navigate the World Wide Web. See also web browser.","C80012","","HTML Browser"
"37428","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C63626","","","cache","Storage area on a computer's hard drive where the browser stores (for a limited time) web pages and/or graphic elements.","C63626","","Memory Cache"
"37429","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142409","","","carry-over effect","Effects of treatment that persist after treatment has been stopped, sometimes beyond the time of a medication's known biological activity.","C142409","","Carry-Over Effect"
"37430","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142588","","","case history","An adequate and accurate record prepared and maintained by an investigator that records all observations and other data pertinent to the investigation of each individual administered the investigational drug (device or other therapy) or employed as a control in the investigation. NOTE: Case histories include the case report forms and supporting data including, for example, signed and dated consent forms and medical records including, for example, progress notes of the physician, the individual's hospital chart(s), and the nurses' notes. The case history for each individual shall document that informed consent was obtained prior to participation in the study. [21 CFR 312.62(b)]","C142588","","Investigational Subject Case History"
"37431","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C40988","","","case report form (CRF)","A printed, optical, or electronic document designed to record all of the protocol-required information to be reported to the sponsor for each trial subject. NOTE: In common usage, CRF can refer to either a CRF page, which denotes a group of one or more data items, linked together for collection and display, or a casebook, which includes the entire group of CRF pages on which a set of clinical study observations can be or have been collected by completion of such CRF pages for a subject in a clinical study. See also CRF (paper), eCRF. [ICH E6 Glossary, FDA Final Guidance on eSource].","C40988","case record form","Case Report Form"
"37432","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142411","","","case report tabulations (CRT)","In a paper submission, listings of data that may be organized by domain (type of data) or by subject. See also eCRT.","C142411","","Case Report Tabulation"
"37433","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C15197","","","case-control study","Retrospective study in which individuals with an outcome (cases) are compared with those who do not have the outcome (controls). The outcome variable (disease, event, experience, biomarker) is chosen first, and the exposure is evaluated in cases vs controls to see whether there is an association between exposure and outcome. [After AMA Manual of Style] See also outcome, observational study.","C15197","","Case-Control Study"
"37434","http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497-C142412","","","categorical data","Data evaluated by sorting values (for example, severe, moderate, and mild) into various categories.","C142412","","Categorical Data"
