"id:ID","uri","label","extensible","notation","definition","identifier","alt_label","pref_label"
"38528","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C66781-C29844","","","WEEKS","Any period of seven consecutive days. (NCI)","C29844","Week","Week"
"38529","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C66781-C29848","","","YEARS","The period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period. (NCI)","C29848","Year","Year"
"38530","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456","Anatomical Location","true","LOC","Terminology codelist used for anatomical location within CDISC.","C74456","Anatomical Location","CDISC SDTM Anatomical Location Terminology"
"38531","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C116163","","","5TH LUMBAR SPINOUS PROCESS","The spinous process of the 5th lumbar vertebra.","C116163","","Fifth Lumbar Spinous Process"
"38532","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32038","","","ABDOMINAL AORTA","The portion of the descending aorta that lies within the abdomen, beginning below the diaphragm and ending at its division into the right and left common iliac arteries. (NCI)","C32038","","Abdominal Aorta"
"38533","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12664","","","ABDOMINAL CAVITY","The body cavity between the thoracic and pelvic cavities in mammals.","C12664","Abdomen","Abdomen"
"38534","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12360","","","ABDOMINAL LYMPH NODE","Any lymph node within the abdomen.","C12360","","Intra-Abdominal Lymph Node"
"38535","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C139186","","","ABDOMINAL REGION","Any portion of the body that lies within the boundary, either internally or externally, of the abdomen: superior margin, the thorax; inferior margin, the pelvis; lateral margins, the ribs.","C139186","","Abdominal Region"
"38536","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C52758","","","ABDOMINAL SKIN","The integument that covers the abdomen.","C52758","Abdominal Skin","Abdominal Skin"
"38537","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C77608","","","ABDOMINAL WALL","The tissue that surrounds the organs present in the abdominal cavity.","C77608","","Abdominal Wall"
"38538","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12665","","","ABDUCENS NERVE","The sixth cranial nerve.","C12665","","Abducens Nerve"
"38539","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C165996","","","ABDUCTOR DIGITI MINIMI MUSCLE OF THE HAND","A muscle of the hand, in general extending from the pisiform bone, the pisohamate ligament, and the flexor retinaculum to the ulnopalmar margin of the proximal phalanx. Primary function is abduction of the little finger and flexion of the phalanx nearest the hand.","C165996","","Abductor Digiti Minimi Muscle of the Hand"
"38540","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C163504","","","ABDUCTOR DIGITI QUINTI MUSCLE","A muscle in the foot, in general extending from the medial and lateral processes of the posterior calcaneal tuberosity to the lateral side of the base of the proximal phalanx of the fifth toe and the fifth metatarsal; primary function is to abduct the fifth toe at the metatarsophalangeal joint and support the lateral arch.","C163504","Abductor Digiti Minimi;Abductor Minimi Digiti","Abductor Digiti Minimi Muscle"
"38541","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C163505","","","ABDUCTOR HALLUCIS MUSCLE","A muscle in the foot, in general extending from the medial process of the posterior calcaneal tuberosity to the medial side of the base of the proximal phalanx of the big toe; primary function is to abduct and flex the big toe at the metatarsophalangeal joint.","C163505","","Abductor Hallucis Muscle"
"38542","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C165997","","","ABDUCTOR POLLICIS BREVIS MUSCLE","A muscle of the hand, in general extending from the flexor retinaculum and the tubercles of the scaphoid and trapezium bones to the outer side of the base of the proximal phalanx of the thumb. Primary function is abduction of the thumb away from the palm.","C165997","","Abductor Pollicis Brevis Muscle"
"38543","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C116183","","","ACCESSORY RENAL ARTERY","An additional renal vessel originating from the aorta and entering the kidney at the proximal or distal end of the organ. Accessory renal arteries are found in 26-30% of humans.","C116183","","Accessory Renal Artery"
"38544","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32042","","","ACETABULUM","Two cup shaped areas, one each on the lateral side of the lower pelvis that house the head of the femur to form the ball and socket joint of the hip. (NCI)","C32042","Acetabulum","Acetabulum"
"38545","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32043","","","ACHILLES TENDON","The tendon that, in general, attaches the gastrocnemius muscle to the calcaneous bone in the tarsus.","C32043","","Achilles Tendon"
"38546","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32047","","","ACROMIOCLAVICULAR JOINT","The junction of the upper distal end of the scapula to the distal edge of the collarbone, also known as the acromion and the clavicle. (NCI)","C32047","Acromioclavicular Joint","Acromioclavicular Joint"
"38547","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32048","","","ACROMION","The upper distal process of the scapula. (NCI)","C32048","Acromion","Acromion"
"38548","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C102285","","","ACUTE MARGINAL ARTERY","The arteries that arise at the junction of the proximal and mid-right coronary artery conduit segments.","C102285","ACUTE MARGINAL ARTERY SEGMENT(S);AMARG","Acute Marginal Artery"
"38549","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C163506","","","ADDUCTOR BREVIS MUSCLE","A muscle in the leg, in general extending from the external surface of the body of pubis and the anterior surface of the inferior pubic ramus to the pectineal line and the medial lip of the linea aspera; primary function is to adduct, flex, and rotate the thigh.","C163506","","Adductor Brevis Muscle"
"38550","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C163507","","","ADDUCTOR HALLUCIS MUSCLE, OBLIQUE HEAD","The larger of two heads of the adductor hallucis muscle, in general originating from the sheath of the peroneus longus tendon and the plantar surface of the bases of the second to fourth metatarsal bones in the foot.","C163507","","Oblique Head of Adductor Hallucis Muscle"
"38551","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C163508","","","ADDUCTOR HALLUCIS MUSCLE, TRANSVERSE HEAD","The smaller of two heads of the adductor hallucis muscle, in general originating from the deep transverse metatarsal ligament and the plantar surface of the metatarsophalangeal joints of the lateral three toes.","C163508","","Transverse Head of Adductor Hallucis Muscle"
"38552","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C163509","","","ADDUCTOR LONGUS MUSCLE","A muscle in the thigh, in general extending from the external surface of the body of pubis to the middle third of the linea aspera; primary function is to adduct and medially rotate the thigh.","C163509","","Adductor Longus Muscle"
"38553","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C163510","","","ADDUCTOR MAGNUS MUSCLE","A muscle in the thigh, in general extending from the ischiopubic ramus and ischial tuberosity to the gluteal tuberosity of the femur, medial lip of the linea aspera, medial supracondylar ridge, and adductor tubercle; primary function is to adduct, flex, extend, and medially rotate the thigh at the hip joint.","C163510","","Adductor Magnus Muscle"
"38554","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C52888","","","ADDUCTOR POLLICIS MUSCLE","A skeletal muscle of the forearm originating from the posterior surfaces of the ulna and radius and the interosseous membrane. (NCI)","C52888","","Abductor Pollicis Longus"
"38555","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12666","","","ADRENAL GLAND","The endocrine glands adjacent to the kidneys that consist of the outer adrenal cortex and the inner adrenal medulla in mammals.","C12666","","Adrenal Gland"
"38556","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12986","","","ALVEOLUS","Any of the terminal sacs in the lungs through which gas exchange takes place with the pulmonary capillary blood.","C12986","Alveoli","Alveolus"
"38557","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12440","","","AMYGDALA","A group of nuclei adjacent to the lateral ventricle of the brain within the temporal lobe, and is part of the limbic system.","C12440","Amygdala;Amygdaloid Body;Amygdaloid Nucleus","Amygdala"
"38558","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12375","","","ANAL CANAL","The terminal section of the alimentary canal, which extends from the anorectal junction and ends at the anal opening. (NCI)","C12375","","Anal Canal"
"38559","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C25419","","","ANAL VERGE","The transitional zone between the moist, hairless, modified skin of the anal canal and the perianal skin.","C25419","","Anal Margin"
"38560","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C15609","","","ANASTOMOSIS","A natural or surgically-induced connection between tubular structures in the body. (NCI)","C15609","Anastomosis","Anastomosis"
"38561","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32077","","","ANGULAR GYRUS","A ridge on the posterior part of the inferior parietal lobule.","C32077","","Angular Gyrus"
"38562","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C161390","","","ANKLE JOINT ANTERIOR EXTENSOR TENDONS","The tendons in the anterior compartment of the leg that cross the tibiotalar joint anteriorly and connect muscles that originate on the surfaces of the tibia and fibula to bones in the toes, enabling dorsiflexion of the foot at the ankle and extension of the toes. (NCI)","C161390","","Ankle Joint Anterior Extensor Tendons"
"38563","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C161389","","","ANKLE JOINT ANTERIOR FLEXOR TENDONS","The tendons in the anterior compartment of the leg that connect muscles that originate on the surfaces of the femur, tibia, and fibula to bones in the toes, enabling plantar flexion of the foot at the ankle. (NCI)","C161389","","Ankle Joint Anterior Flexor Tendons"
"38564","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32078","","","ANKLE JOINT","A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus. (NCI)","C32078","Ankle;Ankle Joint","Ankle Joint"
"38565","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C117868","","","ANKLE MORTISE","A rectangular socket or bony arch that connects the ends of the tibia and fibula to the talus.","C117868","Talar Mortise","Ankle Mortise"
"38566","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C103238","","","ANTECUBITAL FOSSA","A triangular space on the anterior side of the elbow joint. Three main veins of the arm, the brachial artery, the medial nerve and the tendon of the biceps muscle pass through this space.","C103238","","Antecubital Fossa"
"38567","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C139185","","","ANTERIOR CINGULATE CORTEX","The part of the cingulate cortex that lies most frontal, with the most anterior portion of the cortex bending in a horseshoe shape around the genu of the corpus callosum.","C139185","","Anterior Cingulate Cortex"
"38568","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C96217","","","ANTERIOR CINGULATE GYRUS","The part of the cingulate gyrus that lies inferior to the superior frontal gyrus, and is separated from it by the cingulate sulcus; it ends inferior to the rostrum of the corpus callosum.","C96217","","Cingulate Gyrus"
"38569","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32637","","","ANTERIOR HORN OF THE LATERAL VENTRICLE","The part of the lateral ventricle located in the frontal lobe, anterior to the interventricular foramen of Monroe, and bounded by the septum pellucidum, fornix, and genu of the corpus callosum.","C32637","Frontal Horn of the Lateral Ventricle","Frontal Horn of the Lateral Ventricle"
"38570","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32091","","","ANTERIOR INFERIOR CEREBELLAR ARTERY","A basilar artery branch that supplies the anterior portion of the inferior surface of the cerebellum.","C32091","AICA","Anterior Inferior Cerebellar Artery"
"38571","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C139187","","","ANTERIOR SUPERIOR ILIAC SPINE","A bony projection from the anterior region of the iliac crest, and is the site of attachment for the sartorius and tensor fascia latae muscles and the inguinal ligament.","C139187","","Anterior Superior Iliac Spine"
"38572","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12825","","","ANTERIOR TIBIAL ARTERY","An artery of the lower extremity that supplies blood to the anterior part of the leg and the foot.","C12825","","Anterior Tibial Artery"
"38573","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32115","","","ANTERIOR TIBIAL VEIN","The vein that runs parallel to the anterior tibial artery and empties into the popliteal vein.","C32115","","Anterior Tibial Vein"
"38574","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12259","","","ANTRUM PYLORI","The initial part of the pyloric canal of the stomach. This site contains endocrine cells that produce gastrin and somatostatin. (NCI)","C12259","Antrum Pylori","Antrum Pylori"
"38575","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C43362","","","ANUS","The distal orifice of the digestive tract located between the rectum and the external surface of the body, comprising glandular, transitional, and squamous epithelium.","C43362","","Anus"
"38576","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12669","","","AORTA","The major artery of the body; it arises from the left ventricle of the heart and terminally bifurcates into the common iliac arteries.","C12669","","Aorta"
"38577","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32123","","","AORTIC ARCH","The curved segment of the aorta between the ascending and the descending segments.","C32123","Aortic Arch","Aortic Arch"
"38578","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C130167","","","AORTIC VALVE ANNULUS","A fibrous membrane that attaches to, and provides support for, the aortic valve leaflets.","C130167","","Aortic Valve Annulus"
"38579","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12670","","","AORTIC VALVE","A cardiac valve located between the left ventricle and the aorta.","C12670","","Aortic Valve"
"38580","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C127638","","","AORTIC VALVE, LEFT CORONARY CUSP","The cusp of the aortic valve that overlies the left coronary ostium.","C127638","Aortic Valve, Left Semilunar Cusp","Left Coronary Cusp of the Aortic Valve"
"38581","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C127639","","","AORTIC VALVE, NON-CORONARY CUSP","The cusp of the aortic valve that is positioned posteriorly relative to the left and right aortic cusps.","C127639","Aortic Valve, Posterior Semilunar Cusp","Non-Coronary Cusp of the Aortic Valve"
"38582","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C127640","","","AORTIC VALVE, RIGHT CORONARY CUSP","The cusp of the aortic valve that overlies the right coronary ostium.","C127640","Aortic Valve, Right Semilunar Cusp","Right Coronary Cusp of the Aortic Valve"
"38583","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C116166","","","AORTO-ILIAC PERIPHERAL ARTERY","The segment of the blood vessels that includes the iliac artery and its origin from the aorta.","C116166","","Aortoiliac Artery Segment"
"38584","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C118775","","","AORTOCAVAL LYMPH NODE","A lymph node located in the area between the abdominal aorta and inferior vena cava. (NCI)","C118775","","Aortocaval Lymph Node"
"38585","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C116165","","","AORTOPULMONARY WINDOW LYMPH NODE","A lymph node located in the aortopulmonary window.","C116165","","Aortopulmonary Window Lymph Node"
"38586","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C83470","","","APPENDICEAL TIP","The distal end of the appendix. (NCI)","C83470","","Appendiceal Tip"
"38587","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C49477","","","APPENDICULAR SKELETON","The part of the skeleton that includes the bones of the upper and lower limbs, including the shoulder and pelvic girdles","C49477","","Appendicular Skeleton"
"38588","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12380","","","APPENDIX","A pouch-like tissue attached to the cecum, which may exist as a diverticulum.","C12380","","Appendix"
"38589","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C52754","","","ARM SKIN","The integument that covers the arm.","C52754","Arm Skin","Arm Skin"
"38590","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32141","","","ARM","The portion of the upper extremity between the shoulder and the elbow.","C32141","Arm;Brachium;Upper Arm","Arm"
"38591","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12372","","","ARTERY","A blood vessel that carries blood away from the heart. (NCI)","C12372","Artery","Artery"
"38592","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32150","","","ASCENDING AORTA","The portion of the aorta that emerges from the left ventricle and precedes the aortic arch.","C32150","","Ascending Aorta"
"38593","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C127641","","","ASCENDING AORTA, AORTIC ROOT","The portion of the ascending aorta between the aortic annulus and the sinotubular junction.","C127641","","Aortic Root"
"38594","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C127642","","","ASCENDING AORTA, SINOTUBULAR JUNCTION","The terminus of the aortic root; the point at which the aorta attains a tubular configuration.","C127642","","Sinotubular Junction"
"38595","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C33557","","","ASCENDING AORTA, SINUS OF VALSALVA","Any one of the naturally occurring sinuses of the aortic root distal to the semilunar valve.","C33557","","Sinus of Valsalva"
"38596","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C176322","","","ATRIOVENTRICULAR VALVE","Either of the two valves in the heart situated between the atria and ventricles, i.e., the mitral valve or the tricuspid valve.","C176322","","Atrioventricular Valve"
"38597","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32172","","","AXIAL SKELETON","The part of the skeleton that includes the skull and spinal column and sternum and ribs. (NCI)","C32172","","Axial Skeleton"
"38598","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12674","","","AXILLA","The underside concavity where the arm and the shoulder are joined. (NCI)","C12674","Armpit;Axilla","Axilla"
"38599","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32169","","","AXILLARY ARTERY","An artery that originates from the subclavian artery at the lateral margin of the first rib. It supplies the brachial artery.","C32169","","Axillary Artery"
"38600","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C123461","","","AXILLARY LYMPH NODE LEVEL I","Axillary lymph nodes located inferolateral to pectoralis minor.","C123461","","Axillary Lymph Node Level I"
"38601","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C123462","","","AXILLARY LYMPH NODE LEVEL II","Axillary lymph nodes located posterior to pectoralis minor.","C123462","","Axillary Lymph Node Level II"
"38602","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C123463","","","AXILLARY LYMPH NODE LEVEL III","Axillary lymph nodes located superomedial to pectoralis minor.","C123463","","Axillary Lymph Node Level III"
"38603","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12904","","","AXILLARY LYMPH NODE","Lymph node(s) in the axillary region.","C12904","","Axillary Lymph Node"
"38604","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32171","","","AXILLARY VEIN","A large blood vessel which returns blood to the heart from the lateral thorax, axilla and upper limb. Each side of the body contains one axillary vein.","C32171","","Axillary Vein"
"38605","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C53029","","","AZYGOS VEIN","A blood vessel which returns blood to the heart from the posterior walls of the thorax and abdomen.","C53029","","Azygos Vein"
"38606","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C13062","","","BACK","The dorsal area between the base of the neck and the sacrum. (NCI)","C13062","Back","Back"
"38607","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12447","","","BASAL GANGLIA","Clusters of neurons comprising the globus pallidus, putamen, caudate, nucleus accumbens, substantia nigra and subthalamic nucleus.","C12447","","Basal Ganglia"
"38608","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32197","","","BASILIC VEIN","One of the moderately large superficial veins of the forearm that transports blood from the hand and the medial aspect of the forearm to the axillary vein. (NCI)","C32197","Basilic Vein","Basilic Vein"
"38609","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32200","","","BICEPS BRACHII MUSCLE","A muscle of the proximal arm/forelimb, in general extending from the scapula to the radius and adjacent fascia; primary function is flexion of the elbow joint and, in some species, also functions in supination of the antebrachium.","C32200","","Biceps Brachii"
"38610","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C53147","","","BICEPS FEMORIS MUSCLE","A muscle in the thigh, in general extending from the ischial tuberosity and posterior femur to the fibula; primary function is to extend the femorotibial joint.","C53147","","Biceps Femoris"
"38611","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12376","","","BILE DUCT","Any of the ducts conveying bile between the liver and the intestine, including hepatic, cystic, and common bile duct.","C12376","","Bile Duct"
"38612","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12678","","","BILIARY TRACT","The duct system that transports bile from its origination by hepatocytes in the liver to the small intestine. It is comprised of the common bile duct that connects the liver and gall bladder to the small intestine and the cystic duct that connects the gall bladder to the common bile duct. (NCI)","C12678","Biliary Tract","Biliary Tract"
"38613","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C48941","","","BLADDER WALL","The tissue layers that form the urinary bladder. They include the mucosa, submucosa, smooth muscle, and serosa.","C48941","","Bladder Wall"
"38614","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12414","","","BLADDER","The distensible sac-like organ that functions as a reservoir of urine, collecting from the kidneys and eliminating via the urethra. (NCI)","C12414","Urinary Bladder","Bladder"
"38615","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12332","","","BLADDER, DOME","The upper, convex surface of the bladder. (NCI)","C12332","Dome of the Bladder","Dome of the Bladder"
"38616","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C48939","","","BLADDER, FUNDUS","The portion of the bladder that is formed by the posterior wall and is located opposite to the bladder opening. (NCI)","C48939","Fundus of the Bladder","Bladder Fundus"
"38617","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12336","","","BLADDER, NECK","The inferior portion of the urinary bladder which is formed as the walls of the bladder converge and become contiguous with the proximal urethra. (NCI)","C12336","Neck of the Bladder","Bladder Neck"
"38618","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12331","","","BLADDER, TRIGONE","The triangular area in the bladder mucosa that is formed by the two ureteral orifices and the urethral orifice. (NCI)","C12331","Trigone of the Bladder","Bladder Trigone"
"38619","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12679","","","BLOOD VESSEL","A tubular structure through which the blood circulates in the body. Blood vessels constitute a network composed of arteries, arterioles, capillaries, venules, and veins. (NCI)","C12679","","Blood Vessel"
"38620","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12434","","","BLOOD","A liquid tissue with the primary function of transporting oxygen and carbon dioxide. It supplies the tissues with nutrients, removes waste products, and contains various components of the immune system defending the body against infection.","C12434","Peripheral Blood;Whole Blood","Blood"
"38621","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12258","","","BODY OF STOMACH","The main section of the digestive tube that connects the esophagus to the small intestine. The body proper excludes the upper and lower sections of the fundus and pyloric portion respectively. (NCI)","C12258","Body of Stomach","Body of Stomach"
"38622","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C13041","","","BODY","The entire physical structure of an organism. It is composed of anatomic systems, regions, cavities, and spaces. (NCI)","C13041","Whole Body","Body"
"38623","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12431","","","BONE MARROW","The tissue occupying the spaces of some bones. It consists of blood vessel sinuses and a network of hematopoietic cells.","C12431","","Bone Marrow"
"38624","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12366","","","BONE","Calcified connective tissue that forms the skeletal components of the body. (NCI)","C12366","","Bone"
"38625","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12681","","","BRACHIAL ARTERY","An artery of the forelimb; in general it arises from the axillary artery and branches to form the radial and ulnar arteries.","C12681","","Brachial Artery"
"38626","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C92221","","","BRACHIAL LYMPH NODE","Lymph node(s) adjacent to the brachial vein.","C92221","","Brachial Lymph Node"
"38627","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12682","","","BRACHIAL PLEXUS","A nerve network originating from spinal nerves in the cervical and thoracic vertebrae and giving rise to multiple nerves that innervate the arm/forelimb.","C12682","Brachial Plexus","Brachial Plexus"
"38628","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12883","","","BRACHIAL VEIN","A vein of the arm/forelimb; in general it arises from the union of the radial and ulnar veins and drains into the axillary vein.","C12883","","Brachial Vein"
"38629","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C53149","","","BRACHIALIS MUSCLE","A muscle that originates from the lower two-thirds of the anterior surface of the humerus that flexes the elbow. (NCI)","C53149","","Brachialis"
"38630","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C32814","","","BRACHIOCEPHALIC ARTERY","An artery of the mediastinum; in general it arises from the aortic arch and branches to form the right subclavian artery and one or both common carotid arteries.","C32814","Innominate Artery","Innominate Artery"
"38631","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C150849","","","BRACHIORADIALIS MUSCLE","A muscle in the forearm, in general extending from the proximal two-thirds of the lateral supracondylar ridge of the humerus and inserting into the styloid process of the radius; primary function is flexion of the elbow and pronation and supination of the forearm.","C150849","","Brachioradialis Muscle"
"38632","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12441","","","BRAIN STEM","The part of the brain that connects the cerebral hemispheres with the spinal cord. It consists of the mesencephalon, pons, and medulla oblongata. (NCI)","C12441","Brain Stem","Brain Stem"
"38633","http://id.d4k.dk/dataset/cdisc/ct/v48/send/C74456-C12356","","","BRAIN VENTRICLE","The four connected cavities (hollow spaces) centrally located within the brain that connect posteriorly with the central canal of the spinal cord. (NCI)","C12356","Brain Ventricle","Brain Ventricle"
