"id","alt_label","definition","identifier","notation","pref_label","uri"
"3986","","The distal orifice of the digestive tract located between the rectum and the external surface of the body, comprising glandular, transitional, and squamous epithelium.","C43362","ANUS","Anus","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C43362"
"3987","","The major artery of the body; it arises from the left ventricle of the heart and terminally bifurcates into the common iliac arteries.","C12669","AORTA","Aorta","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12669"
"3988","Aortic Arch","The curved segment of the aorta between the ascending and the descending segments.","C32123","AORTIC ARCH","Aortic Arch","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32123"
"3989","","A fibrous membrane that attaches to, and provides support for, the aortic valve leaflets.","C130167","AORTIC VALVE ANNULUS","Aortic Valve Annulus","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C130167"
"3990","","A cardiac valve located between the left ventricle and the aorta.","C12670","AORTIC VALVE","Aortic Valve","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12670"
"3991","Aortic Valve, Left Semilunar Cusp","The cusp of the aortic valve that overlies the left coronary ostium.","C127638","AORTIC VALVE, LEFT CORONARY CUSP","Left Coronary Cusp of the Aortic Valve","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C127638"
"3992","Aortic Valve, Posterior Semilunar Cusp","The cusp of the aortic valve that is positioned posteriorly relative to the left and right aortic cusps.","C127639","AORTIC VALVE, NON-CORONARY CUSP","Non-Coronary Cusp of the Aortic Valve","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C127639"
"3993","Aortic Valve, Right Semilunar Cusp","The cusp of the aortic valve that overlies the right coronary ostium.","C127640","AORTIC VALVE, RIGHT CORONARY CUSP","Right Coronary Cusp of the Aortic Valve","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C127640"
"3994","","The segment of the blood vessels that includes the iliac artery and its origin from the aorta.","C116166","AORTO-ILIAC PERIPHERAL ARTERY","Aortoiliac Artery Segment","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C116166"
"3995","","A lymph node located in the area between the abdominal aorta and inferior vena cava. (NCI)","C118775","AORTOCAVAL LYMPH NODE","Aortocaval Lymph Node","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C118775"
"3996","","A lymph node located in the aortopulmonary window.","C116165","AORTOPULMONARY WINDOW LYMPH NODE","Aortopulmonary Window Lymph Node","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C116165"
"3997","","The distal end of the appendix. (NCI)","C83470","APPENDICEAL TIP","Appendiceal Tip","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C83470"
"3998","","The part of the skeleton that includes the bones of the upper and lower limbs, including the shoulder and pelvic girdles","C49477","APPENDICULAR SKELETON","Appendicular Skeleton","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C49477"
"3999","","A pouch-like tissue attached to the cecum, which may exist as a diverticulum.","C12380","APPENDIX","Appendix","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12380"
"4000","Arm Skin","The integument that covers the arm.","C52754","ARM SKIN","Arm Skin","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C52754"
"4001","Arm;Brachium;Upper Arm","The portion of the upper extremity between the shoulder and the elbow.","C32141","ARM","Arm","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32141"
"4002","Artery","A blood vessel that carries blood away from the heart. (NCI)","C12372","ARTERY","Artery","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12372"
"4003","","The portion of the aorta that emerges from the left ventricle and precedes the aortic arch.","C32150","ASCENDING AORTA","Ascending Aorta","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32150"
"4004","","The portion of the ascending aorta between the aortic annulus and the sinotubular junction.","C127641","ASCENDING AORTA, AORTIC ROOT","Aortic Root","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C127641"
"4005","","The terminus of the aortic root; the point at which the aorta attains a tubular configuration.","C127642","ASCENDING AORTA, SINOTUBULAR JUNCTION","Sinotubular Junction","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C127642"
"4006","","Any one of the naturally occurring sinuses of the aortic root distal to the semilunar valve.","C33557","ASCENDING AORTA, SINUS OF VALSALVA","Sinus of Valsalva","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C33557"
"4007","","Either of the two valves in the heart situated between the atria and ventricles, i.e., the mitral valve or the tricuspid valve.","C176322","ATRIOVENTRICULAR VALVE","Atrioventricular Valve","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C176322"
"4008","","The part of the skeleton that includes the skull and spinal column and sternum and ribs. (NCI)","C32172","AXIAL SKELETON","Axial Skeleton","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32172"
"4009","Armpit;Axilla","The underside concavity where the arm and the shoulder are joined. (NCI)","C12674","AXILLA","Axilla","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12674"
"4010","","An artery that originates from the subclavian artery at the lateral margin of the first rib. It supplies the brachial artery.","C32169","AXILLARY ARTERY","Axillary Artery","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32169"
"4011","","Axillary lymph nodes located inferolateral to pectoralis minor.","C123461","AXILLARY LYMPH NODE LEVEL I","Axillary Lymph Node Level I","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C123461"
"4012","","Axillary lymph nodes located posterior to pectoralis minor.","C123462","AXILLARY LYMPH NODE LEVEL II","Axillary Lymph Node Level II","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C123462"
"4013","","Axillary lymph nodes located superomedial to pectoralis minor.","C123463","AXILLARY LYMPH NODE LEVEL III","Axillary Lymph Node Level III","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C123463"
"4014","","Lymph node(s) in the axillary region.","C12904","AXILLARY LYMPH NODE","Axillary Lymph Node","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12904"
"4015","","A large blood vessel which returns blood to the heart from the lateral thorax, axilla and upper limb. Each side of the body contains one axillary vein.","C32171","AXILLARY VEIN","Axillary Vein","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32171"
"4016","","A blood vessel which returns blood to the heart from the posterior walls of the thorax and abdomen.","C53029","AZYGOS VEIN","Azygos Vein","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C53029"
"4017","Back","The dorsal area between the base of the neck and the sacrum. (NCI)","C13062","BACK","Back","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C13062"
"4018","","Clusters of neurons comprising the globus pallidus, putamen, caudate, nucleus accumbens, substantia nigra and subthalamic nucleus.","C12447","BASAL GANGLIA","Basal Ganglia","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12447"
"4019","Basilic Vein","One of the moderately large superficial veins of the forearm that transports blood from the hand and the medial aspect of the forearm to the axillary vein. (NCI)","C32197","BASILIC VEIN","Basilic Vein","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32197"
"4020","","A muscle of the proximal arm/forelimb, in general extending from the scapula to the radius and adjacent fascia; primary function is flexion of the elbow joint and, in some species, also functions in supination of the antebrachium.","C32200","BICEPS BRACHII MUSCLE","Biceps Brachii","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32200"
"4021","","A muscle in the thigh, in general extending from the ischial tuberosity and posterior femur to the fibula; primary function is to extend the femorotibial joint.","C53147","BICEPS FEMORIS MUSCLE","Biceps Femoris","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C53147"
"4022","","Any of the ducts conveying bile between the liver and the intestine, including hepatic, cystic, and common bile duct.","C12376","BILE DUCT","Bile Duct","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12376"
"4023","Biliary Tract","The duct system that transports bile from its origination by hepatocytes in the liver to the small intestine. It is comprised of the common bile duct that connects the liver and gall bladder to the small intestine and the cystic duct that connects the gall bladder to the common bile duct. (NCI)","C12678","BILIARY TRACT","Biliary Tract","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12678"
"4024","","The tissue layers that form the urinary bladder. They include the mucosa, submucosa, smooth muscle, and serosa.","C48941","BLADDER WALL","Bladder Wall","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C48941"
"4025","Urinary Bladder","The distensible sac-like organ that functions as a reservoir of urine, collecting from the kidneys and eliminating via the urethra. (NCI)","C12414","BLADDER","Bladder","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12414"
"4026","Dome of the Bladder","The upper, convex surface of the bladder. (NCI)","C12332","BLADDER, DOME","Dome of the Bladder","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12332"
"4027","Fundus of the Bladder","The portion of the bladder that is formed by the posterior wall and is located opposite to the bladder opening. (NCI)","C48939","BLADDER, FUNDUS","Bladder Fundus","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C48939"
"4028","Neck of the Bladder","The inferior portion of the urinary bladder which is formed as the walls of the bladder converge and become contiguous with the proximal urethra. (NCI)","C12336","BLADDER, NECK","Bladder Neck","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12336"
"4029","Trigone of the Bladder","The triangular area in the bladder mucosa that is formed by the two ureteral orifices and the urethral orifice. (NCI)","C12331","BLADDER, TRIGONE","Bladder Trigone","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12331"
"4030","","A tubular structure through which the blood circulates in the body. Blood vessels constitute a network composed of arteries, arterioles, capillaries, venules, and veins. (NCI)","C12679","BLOOD VESSEL","Blood Vessel","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12679"
"4031","Peripheral Blood;Whole Blood","A liquid tissue with the primary function of transporting oxygen and carbon dioxide. It supplies the tissues with nutrients, removes waste products, and contains various components of the immune system defending the body against infection.","C12434","BLOOD","Blood","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12434"
"4032","Body of Stomach","The main section of the digestive tube that connects the esophagus to the small intestine. The body proper excludes the upper and lower sections of the fundus and pyloric portion respectively. (NCI)","C12258","BODY OF STOMACH","Body of Stomach","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12258"
"4033","Whole Body","The entire physical structure of an organism. It is composed of anatomic systems, regions, cavities, and spaces. (NCI)","C13041","BODY","Body","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C13041"
"4034","","The tissue occupying the spaces of some bones. It consists of blood vessel sinuses and a network of hematopoietic cells.","C12431","BONE MARROW","Bone Marrow","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12431"
"4035","","Calcified connective tissue that forms the skeletal components of the body. (NCI)","C12366","BONE","Bone","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12366"
"4036","","An artery of the forelimb; in general it arises from the axillary artery and branches to form the radial and ulnar arteries.","C12681","BRACHIAL ARTERY","Brachial Artery","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12681"
"4037","","Lymph node(s) adjacent to the brachial vein.","C92221","BRACHIAL LYMPH NODE","Brachial Lymph Node","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C92221"
"4038","Brachial Plexus","A nerve network originating from spinal nerves in the cervical and thoracic vertebrae and giving rise to multiple nerves that innervate the arm/forelimb.","C12682","BRACHIAL PLEXUS","Brachial Plexus","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12682"
"4039","","A vein of the arm/forelimb; in general it arises from the union of the radial and ulnar veins and drains into the axillary vein.","C12883","BRACHIAL VEIN","Brachial Vein","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12883"
"4040","","A muscle that originates from the lower two-thirds of the anterior surface of the humerus that flexes the elbow. (NCI)","C53149","BRACHIALIS MUSCLE","Brachialis","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C53149"
"4041","Innominate Artery","An artery of the mediastinum; in general it arises from the aortic arch and branches to form the right subclavian artery and one or both common carotid arteries.","C32814","BRACHIOCEPHALIC ARTERY","Innominate Artery","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C32814"
"4042","","A muscle in the forearm, in general extending from the proximal two-thirds of the lateral supracondylar ridge of the humerus and inserting into the styloid process of the radius; primary function is flexion of the elbow and pronation and supination of the forearm.","C150849","BRACHIORADIALIS MUSCLE","Brachioradialis Muscle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C150849"
"4043","Brain Stem","The part of the brain that connects the cerebral hemispheres with the spinal cord. It consists of the mesencephalon, pons, and medulla oblongata. (NCI)","C12441","BRAIN STEM","Brain Stem","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12441"
"4044","Brain Ventricle","The four connected cavities (hollow spaces) centrally located within the brain that connect posteriorly with the central canal of the spinal cord. (NCI)","C12356","BRAIN VENTRICLE","Brain Ventricle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12356"
"4045","","The rostral extensions of the ventricular system of the brain consisting of two cavities, one on each side of the brain within the central regions of each cerebral hemisphere. Cerebrospinal fluid flows from the lateral ventricles into the centrally third ventricle via the foramen of Monroe. (NCI)","C12834","BRAIN VENTRICLE, LATERAL","Lateral Ventricle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12834"
"4046","Nervous System, Brain","An organ composed of gray and white matter that is the center for intelligence and reasoning. It is protected by the bony cranium.","C12439","BRAIN","Brain","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12439"
"4047","","A diamond-shaped cavity filled with cerebrospinal fluid within the pons, extending between the obex in the caudal medulla and the aqueduct of Sylvius in the cerebellum.","C12828","BRAIN, FOURTH VENTRICLE","Fourth Ventricle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12828"
"4048","","The area of the body surrounding the ventricles of the brain.","C132390","BRAIN, PERIVENTRICULAR REGION","Periventricular Region","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C132390"
"4049","","A centrally placed component of the ventricular system of the brain that is located in the diencephalon; the thalamus and the hypothalamus border the third ventricle.","C12827","BRAIN, THIRD VENTRICLE","Third Ventricle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12827"
"4050","Breast","One of two hemispheric projections of variable size situated in the subcutaneous layer over the pectoralis major muscle on either side of the chest. (NCI)","C12971","BREAST","Breast","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12971"
"4051","Bronchi","Tubular structure in continuation with the trachea, serving as an air passage.","C12683","BRONCHUS","Bronchus","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12683"
"4052","Buccinator Lymph Node","Lymph node(s) that are located superficial to the buccinator muscle.","C154770","BUCCAL LYMPH NODE","Buccal Lymph Node","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C154770"
"4053","","The mucosal membranes located on the inside of the cheek, in the buccal cavity. (NCI)","C12505","BUCCAL MUCOSA","Buccal Mucosa","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12505"
"4054","","The part of the conjunctiva that covers the eyeball.","C12902","BULBAR CONJUNCTIVA","Bulbar Conjunctiva","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C12902"
"4055","Buttock","Either of the fleshy mounds in the rear pelvic area of the human body formed by the gluteal muscles.","C89806","BUTTOCK","Buttock","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C74456-C89806"
