"id:ID","core","ct","described_value_domain","description","label","name","ordinal","role","simple_data_type","uri"
"1781","Perm","C71620","","Units for AGDOSE and AGDOSTXT. Examples: ""ng"", ""mg"", ""mg/kg"".","Dose Units","AGDOSU","22","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agdosu"
"1782","Perm","C66726","","Dose form for AGTRT. Examples: ""TABLET"", ""AEROSOL"".","Dose Form","AGDOSFRM","23","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agdosfrm"
"1783","Perm","C71113","","Usually expressed as the number of repeated administrations of AGDOSE within a specific time period. Example: ""ONCE"".","Dosing Frequency per Interval","AGDOSFRQ","24","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agdosfrq"
"1784","Perm","C66729","","Route of administration for AGTRT. Example: ""ORAL"".","Route of Administration","AGROUTE","25","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agroute"
"1785","Exp","","","1. Clinical encounter number. \n 2. Numeric version of VISIT, used for sorting.","Visit Number","VISITNUM","26","Timing","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/visitnum"
"1786","Perm","","","1. Protocol-defined description of clinical encounter. \n 2. May be used in addition to VISITNUM and/or VISITDY.","Visit Name","VISIT","27","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/visit"
"1787","Perm","","","Planned study day of the visit based upon RFSTDTC in Demographics.","Planned Study Day of Visit","VISITDY","28","Timing","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/visitdy"
"1788","Perm","","","Number that gives the planned order of the element within the arm for the element in which the agent administration started.","Planned Order of Element within Arm","TAETORD","29","Timing","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/taetord"
"1789","Perm","C99079","","Epoch associated with the start date/time of the agent administration started.","Epoch","EPOCH","30","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/epoch"
"1790","Perm","","ISO 8601 datetime or interval","The date/time when administration of the treatment indicated by AGTRT and the dosing variables began.","Start Date/Time of Agent","AGSTDTC","31","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agstdtc"
"1791","Perm","","ISO 8601 datetime or interval","The date/time when administration of the treatment indicated by AGTRT and the dosing variables ended.","End Date/Time of Agent","AGENDTC","32","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agendtc"
"1792","Perm","","","Study day of start of agent relative to the sponsor-defined RFSTDTC.","Study Day of Start of Agent","AGSTDY","33","Timing","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agstdy"
"1793","Perm","","","Study day of end of agent relative to the sponsor-defined RFSTDTC.","Study Day of End of Agent","AGENDY","34","Timing","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agendy"
"1794","Perm","","ISO 8601 duration","Collected duration for an agent episode. Used only if collected on the CRF and not derived from start and end date/times.","Duration of Agent","AGDUR","35","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agdur"
"1795","Perm","C66728","","Describes the start of the agent relative to sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be translated into AGSTRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","Start Relative to Reference Period","AGSTRF","36","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agstrf"
"1796","Perm","C66728","","Describes the end of the agent relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be translated into AGENRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","End Relative to Reference Period","AGENRF","37","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agenrf"
"1797","Perm","C66728","","Identifies the start of the agent as being before or after the sponsor-defined reference time point defined by variable AGSTTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","Start Relative to Reference Time Point","AGSTRTPT","38","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agstrtpt"
"1798","Perm","","","Description or date/time in ISO 8601 character format of the reference point referred to by AGSTRTPT. Examples: ""2003-12-15"", ""VISIT 1"".","Start Reference Time Point","AGSTTPT","39","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agsttpt"
"1799","Perm","C66728","","Identifies the end of the agent as being before or after the reference time point defined by variable AGENTPT. Identifies the end of the agent as being before or after the sponsor-defined reference time point defined by variable AGENTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","End Relative to Reference Time Point","AGENRTPT","40","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agenrtpt"
"1800","Perm","","","Description or date/time in ISO 8601 character format of the reference point referred to by AGENRTPT. Examples: ""2003-12-25"", ""VISIT 2"".","End Reference Time Point","AGENTPT","41","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ag/agentpt"
"1801","Req","","","Unique identifier for a study.","Study Identifier","STUDYID","1","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/studyid"
"1802","Req","","","Two-character abbreviation for the domain.","Domain Abbreviation","DOMAIN","2","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/domain"
"1803","Req","","","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Unique Subject Identifier","USUBJID","3","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/usubjid"
"1804","Req","","","Sequence number to ensure uniqueness of subject records within a domain. May be any valid number.","Sequence Number","CMSEQ","4","Identifier","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmseq"
"1805","Perm","","","Used to tie together a block of related records in a single domain for a subject.","Group ID","CMGRPID","5","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmgrpid"
"1806","Perm","","","Sponsor-defined reference number. Example: a number preprinted on the CRF as an explicit line identifier or record identifier defined in the sponsor's operational database. Example: line number on a concomitant medication page.","Sponsor-Defined Identifier","CMSPID","6","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmspid"
"1807","Req","","","Verbatim medication name that is either preprinted or collected on a CRF.","Reported Name of Drug, Med, or Therapy","CMTRT","7","Topic","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmtrt"
"1808","Perm","","","If CMTRT is modified to facilitate coding, then CMMODIFY will contain the modified text.","Modified Reported Name","CMMODIFY","8","Synonym Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmmodify"
"1809","Perm","","","Standardized or dictionary-derived text description of CMTRT or CMMODIFY. Equivalent to the generic drug name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the external codelist element in the Define-XML document. If an intervention term does not have a decode value in the dictionary, then CMDECOD will be left blank.","Standardized Medication Name","CMDECOD","9","Synonym Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmdecod"
"1810","Perm","","","Used to define a category of medications/treatment. Examples: ""PRIOR"", ""CONCOMITANT"", ""ANTI-CANCER MEDICATION"", ""GENERAL CONMED"".","Category for Medication","CMCAT","10","Grouping Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmcat"
"1811","Perm","","","A further categorization of medications/treatment. Examples: ""CHEMOTHERAPY"", ""HORMONAL THERAPY"", ""ALTERNATIVE THERAPY"".","Subcategory for Medication","CMSCAT","11","Grouping Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmscat"
"1812","Perm","C66742","","Used to indicate whether (""Y""/null) information about the use of a specific medication was solicited on the CRF.","CM Pre-specified","CMPRESP","12","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmpresp"
"1813","Perm","C66742","","When the use of a specific medication is solicited. CMOCCUR is used to indicate whether (""Y""/""N"") use of the medication occurred. Values are null for medications not specifically solicited.","CM Occurrence","CMOCCUR","13","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmoccur"
"1814","Perm","C66789","","Used to indicate that a question about the occurrence of a prespecified intervention was not answered. Should be null or have a value of ""NOT DONE"".","Completion Status","CMSTAT","14","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmstat"
"1815","Perm","","","Reason not done. Used in conjunction with CMSTAT when value is ""NOT DONE"".","Reason Medication Not Collected","CMREASND","15","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmreasnd"
"1816","Perm","","","Denotes why a medication was taken or administered. Examples: ""NAUSEA"", ""HYPERTENSION"".","Indication","CMINDC","16","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmindc"
"1817","Perm","","","Drug class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, then follow Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit CMCLAS.","Medication Class","CMCLAS","17","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmclas"
"1818","Perm","","","Class code corresponding to CMCLAS. Drug class. May be obtained from coding. When coding to a single class, populate with class code. If using a dictionary and coding to multiple classes, then follow Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit CMCLASCD.","Medication Class Code","CMCLASCD","18","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmclascd"
"1819","Perm","","","Amount of CMTRT given. Not populated when CMDOSTXT is populated.","Dose per Administration","CMDOSE","19","Record Qualifier","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmdose"
"1820","Perm","","","Dosing amounts or a range of dosing information collected in text form. Units may be stored in CMDOSU. Examples: ""200-400"", ""15-20"". Not populated when CMDOSE is populated.","Dose Description","CMDOSTXT","20","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmdostxt"
"1821","Perm","C71620","","Units for CMDOSE, CMDOSTOT, or CMDOSTXT. Examples: ""ng"", ""mg"", ""mg/kg"".","Dose Units","CMDOSU","21","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmdosu"
"1822","Perm","C66726","","Dose form for CMTRT. Examples: ""TABLET"", ""LOTION"".","Dose Form","CMDOSFRM","22","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmdosfrm"
"1823","Perm","C71113","","Usually expressed as the number of repeated administrations of CMDOSE within a specific time period. Examples: ""BID"" (twice daily), ""Q12H"" (every 12 hours).","Dosing Frequency per Interval","CMDOSFRQ","23","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmdosfrq"
"1824","Perm","","","Total daily dose of CMTRT using the units in CMDOSU. Used when dosing is collected as total daily dose. Total dose over a period other than day could be recorded in a separate supplemental qualifier variable.","Total Daily Dose","CMDOSTOT","24","Record Qualifier","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmdostot"
"1825","Perm","","","Text description of the (intended) schedule or regimen for the Intervention. Example: ""TWO WEEKS ON, TWO WEEKS OFF"".","Intended Dose Regimen","CMDOSRGM","25","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmdosrgm"
"1826","Perm","C66729","","Route of administration for the intervention. Examples: ""ORAL"", ""INTRAVENOUS"".","Route of Administration","CMROUTE","26","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmroute"
"1827","Perm","","","Describes reason or explanation of why a dose is adjusted. Examples: ""ADVERSE EVENT"", ""INSUFFICIENT RESPONSE"", ""NON-MEDICAL REASON"".","Reason for Dose Adjustment","CMADJ","27","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmadj"
"1828","Perm","","","When dosing of a treatment is recorded over multiple successive records, this variable is applicable only for the (chronologically) last record for the treatment.","Reason the Intervention Was Discontinued","CMRSDISC","28","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmrsdisc"
"1829","Perm","","","Number that gives the planned order of the element within the arm for the element in which the medication administration started. Null for medications that started before study participation.","Planned Order of Element within Arm","TAETORD","29","Timing","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/taetord"
"1830","Perm","C99079","","Epoch associated with the start date/time of the medication administration. Null for medications that started before study participation.","Epoch","EPOCH","30","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/epoch"
"1831","Perm","","ISO 8601 datetime or interval","Start date/time of the medication administration represented in ISO 8601 character format.","Start Date/Time of Medication","CMSTDTC","31","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmstdtc"
"1832","Perm","","ISO 8601 datetime or interval","End date/time of the medication administration represented in ISO 8601 character format.","End Date/Time of Medication","CMENDTC","32","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmendtc"
"1833","Perm","","","Study day of start of medication relative to the sponsor-defined RFSTDTC.","Study Day of Start of Medication","CMSTDY","33","Timing","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmstdy"
"1834","Perm","","","Study day of end of medication relative to the sponsor-defined RFSTDTC.","Study Day of End of Medication","CMENDY","34","Timing","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmendy"
"1835","Perm","","ISO 8601 duration","Collected duration for a treatment episode. Used only if collected on the CRF and not derived from start and end date/times.","Duration","CMDUR","35","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmdur"
"1836","Perm","C66728","","Describes the start of the medication relative to sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"" was collected, this information may be translated into CMSTRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","Start Relative to Reference Period","CMSTRF","36","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmstrf"
"1837","Perm","C66728","","Describes the end of the medication relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING, or ""CONTINUING"" was collected, this information may be translated into CMENRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","End Relative to Reference Period","CMENRF","37","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmenrf"
"1838","Perm","C66728","","Identifies the start of the medication as being before or after the sponsor-defined reference time point defined by variable CMSTTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","Start Relative to Reference Time Point","CMSTRTPT","38","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmstrtpt"
"1839","Perm","","","Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by CMSTRTPT. Examples: ""2003-12-15"", ""VISIT 1"".","Start Reference Time Point","CMSTTPT","39","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmsttpt"
"1840","Perm","C66728","","Identifies the end of the medication as being before or after the sponsor-defined reference time point defined by variable CMENTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","End Relative to Reference Time Point","CMENRTPT","40","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmenrtpt"
"1841","Perm","","","Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by CMENRTPT. Examples: ""2003-12-25"", ""VISIT 2"".","End Reference Time Point","CMENTPT","41","Timing","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/cm/cmentpt"
"1842","Req","","","Unique identifier for a study.","Study Identifier","STUDYID","1","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/studyid"
"1843","Req","","","Two-character abbreviation for the domain.","Domain Abbreviation","DOMAIN","2","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/domain"
"1844","Req","","","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Unique Subject Identifier","USUBJID","3","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/usubjid"
"1845","Req","","","Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.","Sequence Number","ECSEQ","4","Identifier","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecseq"
"1846","Perm","","","Used to tie together a block of related records in a single domain for a subject.","Group ID","ECGRPID","5","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecgrpid"
"1847","Perm","","","Internal or external identifier (e.g., kit number, bottle label, vial identifier).","Reference ID","ECREFID","6","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecrefid"
"1848","Perm","","","Sponsor-defined reference number. May be preprinted on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF page.","Sponsor-Defined Identifier","ECSPID","7","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecspid"
"1849","Perm","","","Identifier used to link related records across domains.","Link ID","ECLNKID","8","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/eclnkid"
"1850","Perm","","","Identifier used to link related, grouped records across domains.","Link Group ID","ECLNKGRP","9","Identifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/eclnkgrp"
"1851","Req","","","Name of the intervention treatment known to the subject and/or administrator.","Name of Treatment","ECTRT","10","Topic","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ectrt"
"1852","Perm","C125923","","Mode or condition of the record specifying whether the intervention (activity) is intended to happen or has happened. Values align with BRIDG pillars (e.g., scheduled context, performed context) and HL7 activity moods (e.g., intent, event). Examples: ""SCHEDULED"", ""PERFORMED"".","Mood","ECMOOD","11","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecmood"
"1853","Perm","","","Used to define a category of related ECTRT values.","Category of Treatment","ECCAT","12","Grouping Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/eccat"
"1854","Perm","","","A further categorization of ECCAT values.","Subcategory of Treatment","ECSCAT","13","Grouping Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecscat"
"1855","Perm","C66742","","Used when a specific intervention is prespecified. Values should be ""Y"" or null.","Pre-Specified","ECPRESP","14","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecpresp"
"1856","Perm","C66742","","Used to indicate whether a treatment occurred when information about the occurrence is solicited. ECOCCUR = ""N"" when a treatment was not taken, not given, or missed.","Occurrence","ECOCCUR","15","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecoccur"
"1857","Perm","","","The reason for the value in --OCCUR. If --OCCUR = ""N"", this is the reason the exposure did not occur.","Reason for Occur Value","ECREASOC","16","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecreasoc"
"1858","Exp","","","Amount of ECTRT when numeric. Not populated when ECDOSTXT is populated.","Dose","ECDOSE","17","Record Qualifier","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecdose"
"1859","Perm","","","Amount of ECTRT when non-numeric. Dosing amounts or a range of dosing information collected in text form. Example: ""200-400"". Not populated when ECDOSE is populated.","Dose Description","ECDOSTXT","18","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecdostxt"
"1860","Exp","C71620","","Units for ECDOSE, ECDOSTOT, or ECDOSTXT.","Dose Units","ECDOSU","19","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecdosu"
"1861","Exp","C66726","","Dose form for ECTRT. Examples: ""TABLET"", ""LOTION"".","Dose Form","ECDOSFRM","20","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecdosfrm"
"1862","Perm","C71113","","Usually expressed as the number of repeated administrations of ECDOSE within a specific time period. Examples: ""Q2H"", ""QD"", ""BID"".","Dosing Frequency per Interval","ECDOSFRQ","21","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecdosfrq"
"1863","Perm","","","Total daily dose of ECTRT using the units in ECDOSU. Used when dosing is collected as total daily dose.","Total Daily Dose","ECDOSTOT","22","Record Qualifier","Num","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecdostot"
"1864","Perm","","","Text description of the intended schedule or regimen for the Intervention. Example: ""TWO WEEKS ON"", ""TWO WEEKS OFF"".","Intended Dose Regimen","ECDOSRGM","23","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecdosrgm"
"1865","Perm","C66729","","Route of administration for the intervention. Examples: ""ORAL"", ""INTRAVENOUS"".","Route of Administration","ECROUTE","24","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecroute"
"1866","Perm","","","Lot number of the ECTRT product.","Lot Number","ECLOT","25","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/eclot"
"1867","Perm","C74456","","Specifies location of administration. Example: ""ARM"", ""LIP"".","Location of Dose Administration","ECLOC","26","Record Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/ecloc"
"1868","Perm","C99073","","Qualifier for anatomical location further detailing laterality of the intervention administration. Examples: ""LEFT"", ""RIGHT"".","Laterality","ECLAT","27","Variable Qualifier","Char","http://id.d4k.dk/dataset/cdisc/sdtm/v3-4/ec/eclat"
