"id","alt_label","definition","identifier","notation","pref_label","uri"
"7590","10^5/mm3;10^5/uL;10^8/mL","A unit of measurement equal to 10 to the eleventh power of entities per unit of volume equal to one liter.","C105488","10^11/L","Hundred Billion Per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C105488"
"7591","Tera International Unit per Liter;TIU/L","Unit of arbitrary substance concentration (biologic activity concentration) defined as the concentration of 10^12 international unit per one liter of system volume.(NCI)","C105518","10^12 IU/L","Tera International Unit Per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C105518"
"7592","/pL;1/pL;10^6/mm3;10^6/uL;M/uL;Mill/mcL;T/L;Tera/L;TI/L","A unit of measurement equal to 10 to the twelfth power of the number of entities per unit of volume equal to one liter.","C67308","10^12/L","Million per Microliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67308"
"7593","Thousand CFU;Thousand Colony Forming Units","A unit of measurement of colony forming cells or microorganisms equal to 10 to the third power colony forming units.","C68895","10^3 CFU","Thousand Colony Forming Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68895"
"7594","Thousand CFU/g;Thousand Colony Forming Units per Gram","A unit of measurement of colony forming cells or microorganisms equal to 10 to the third power colony forming units.","C68899","10^3 CFU/g","Thousand Colony Forming Units per Gram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68899"
"7595","Thousand CFU/mL;Thousand Colony Forming Units per Milliliter","A unit of measurement of colony forming cells or microorganisms in a unit volume of substance of interest defined as the number of 10 to the third power colony forming units in one milliliter of substance.","C68903","10^3 CFU/mL","Thousand Colony Forming Units per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68903"
"7596","","The unit of concentration expressed as the number of 10 to the third power copies in unit volume equal to one milliliter. (NCI)","C100897","10^3 copies/mL","Thousand Copies per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C100897"
"7597","","A unit of measurement equal to 10 to the third power of the number of deoxyribonucleic acid (DNA) copies per unit of volume equal to one milliliter.","C98788","10^3 DNA copies/mL","Thousand DNA Copies per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C98788"
"7598","Thousand Organisms","A unit of measure of quantity of organisms expressed in 10 to the third power of organisms.","C71187","10^3 organisms","Thousand Organisms","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71187"
"7599","Thousand Organisms per Gram;Thousand Organisms/g","A unit of measure of organism content expressed in 10 to the third power of organisms per unit of mass equal to one gram.","C71190","10^3 organisms/g","Thousand Organisms per Gram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71190"
"7600","Thousand Organisms per Milliliter;Thousand Organisms/mL","A unit of measure of organism concentration expressed in 10 to the third power of organisms per unit of volume equal to one milliliter.","C71195","10^3 organisms/mL","Thousand Organisms per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71195"
"7601","","A unit of measurement equal to 10 to the third power of the number of ribonucleic acid (RNA) copies per unit of volume equal to one milliliter.","C98790","10^3 RNA copies/mL","Thousand RNA Copies per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C98790"
"7602","","A unit of measurement equal to 10 to the third power of the number of entities per unit of area equal to one high powered field.","C98789","10^3/hpf","Thousand per High Powered Field","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C98789"
"7603","/mL;1/mL","A unit of measurement equal to 10 to the third power of entities per unit of volume equal to one liter.","C105519","10^3/L","Thousand Per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C105519"
"7604","Ten Thousand CFU;Ten Thousand Colony Forming Units","A unit of measurement of colony forming cells or microorganisms equal to 10 to the fourth power colony forming units.","C158293","10^4 CFU","Ten Thousand Colony Forming Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C158293"
"7605","Ten Thousand CFU/mL;Ten Thousand Colony Forming Units per Milliliter","A unit of measurement of colony forming cells or microorganisms in a unit volume of substance of interest defined as the number of 10 to the fourth power colony forming units in one milliliter of substance.","C166095","10^4 CFU/mL","Ten Thousand Colony Forming Units Per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C166095"
"7606","","A unit of measurement equal to 10 to the fourth power of the number of entities per unit of area equal to one high powered field.","C98787","10^4/hpf","Ten Thousand per High Powered Field","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C98787"
"7607","","A unit of measurement equal to 10 to the fourth power of entities per unit of volume equal to one liter.","C73771","10^4/L","Thousand per Deciliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73771"
"7608","Hundred Thousand CFU/mL;Hundred Thousand Colony Forming Units per Milliliter","A unit of measurement of colony forming cells or microorganisms in a unit volume of substance of interest defined as the number of 10 to the fifth power colony forming units in one milliliter of substance.","C181551","10^5 CFU/mL","Hundred Thousand Colony Forming Units per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C181551"
"7609","","A unit of measurement equal to 10 to the fifth power of the number of entities per unit of area equal to one high powered field.","C98743","10^5/hpf","Hundred Thousand per High Powered Field","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C98743"
"7610","10^2/g;10^5/kg","A unit of measurement equal to 10 to the fifth power of the number of entities per unit of mass equal to one kilogram.","C184715","10^5/kg","Hundred Thousand Per Kilogram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C184715"
"7611","10^2/mL","A unit of measurement equal to 10 to the fifth power of entities per unit of volume equal to one liter.","C105490","10^5/L","Hundred Thousand Per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C105490"
"7612","Million CFU;Million Colony Forming Units","A unit of measurement of colony forming cells or microorganisms equal to 10 to the sixth power colony forming units.","C68896","10^6 CFU","Million Colony Forming Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68896"
"7613","Million CFU/g;Million Colony Forming Units per Gram","A unit of measurement of colony forming cells or microorganisms in a unit mass of substance of interest defined as the number of 10 to the sixth power colony forming units in one gram of substance.","C68900","10^6 CFU/g","Million Colony Forming Units per Gram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68900"
"7614","Million CFU/mL;Million Colony Forming Units per Milliliter","A unit of measurement of colony forming cells or microorganisms in a unit volume of substance of interest defined as the number of 10 to the sixth power colony forming units in one milliliter of substance.","C68904","10^6 CFU/mL","Million Colony Forming Units per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68904"
"7615","","The unit of concentration expressed as the number of 10 to the sixth power copies in unit volume equal to one milliliter. (NCI)","C100898","10^6 copies/mL","Million Copies per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C100898"
"7616","","A unit of measurement equal to 10 to the sixth power of the number of deoxyribonucleic acid (DNA) copies per unit of volume equal to one milliliter.","C98756","10^6 DNA copies/mL","Million DNA Copies per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C98756"
"7617","Million International Units;Million IU","A unit of biological activity equal to 10 to the sixth power international units.","C67335","10^6 IU","Million International Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67335"
"7618","","A unit of measurement equal to 10 to the sixth power of the number of international units of an entity per unit of volume equal to one milliliter.","C98757","10^6 IU/mL","Million International Units per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C98757"
"7619","Million Organisms","A unit of measure of quantity of organisms expressed in 10 to the sixth power of organisms.","C71188","10^6 organisms","Million Organisms","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71188"
"7620","Million Organisms per Gram;Million Organisms/g","A unit of measure of organism content expressed in 10 to the sixth power of organisms per unit of mass equal to one gram.","C71191","10^6 organisms/g","Million Organisms per Gram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71191"
"7621","Million Organisms per Milligram;Million Organisms/mg","A unit of measure of organism content expressed in 10 to the sixth power of organisms per unit of mass equal to one milligram.","C71193","10^6 organisms/mg","Million Organisms per Milligram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71193"
"7622","Million Organisms per Milliliter;Million Organisms/mL","A unit of measure of organism concentration expressed in 10 to the sixth power of organisms per unit of volume equal to one milliliter.","C71196","10^6 organisms/mL","Million Organisms per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71196"
"7623","One Million PFU;One Million Plaque Forming Units","A unit of measurement of infectious entities with numbers equal to 10 to the sixth power plaque forming units.","C67268","10^6 PFU","Million Plaque Forming Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67268"
"7624","","A unit of measurement equal to 10 to the sixth power of the number of ribonucleic acid (RNA) copies per unit of volume equal to one milliliter.","C98760","10^6 RNA copies/mL","Million RNA Copies per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C98760"
"7625","10^6 50 Percent Tissue Culture Infective Dose per Dose","A potency unit equal to the potency at which one dose of preparation contains one million (10^6) 50 percent tissue culture infective doses.","C150415","10^6 TCID 50/dose","Million Tissue Culture Infectious Dose 50%","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C150415"
"7626","Million U;Million Units","A unit of measure equal to 10 to the sixth power of arbitrary units.","C67310","10^6 U","Million Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67310"
"7627","","A unit of measurement equal to 10 to the sixth power of entities per unit equal to one ejaculation.","C130189","10^6/Ejaculate U","Million Per Ejaculate Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C130189"
"7628","/ug;1/ug;10^3/mg;10^9/kg","A unit of measurement equal to 10 to the sixth power of the number of entities per unit of mass equal to one gram.","C98758","10^6/g","Million per Gram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C98758"
"7629","","A unit of measurement equal to 10 to the sixth power of the number of entities per unit of area equal to one high powered field.","C98759","10^6/hpf","Million per High Powered Field","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C98759"
"7630","/mm3;/uL;1/mm3;1/uL;10^3/mL;M/L;Mega/L","A unit of measurement equal to 10 to the sixth power of the number of entities per unit of volume equal to one liter.","C67452","10^6/L","Thousand per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67452"
"7631","Ten Million CFU;Ten Million Colony Forming Units","A unit of measurement of colony forming cells or microorganisms equal to 10 to the seventh power colony forming units.","C158294","10^7 CFU","Ten Million Colony Forming Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C158294"
"7632","Ten Million CFU/mL;Ten Million Colony Forming Units per Milliliter","A unit of measurement of colony forming cells or microorganisms in a unit volume of substance of interest defined as the number of 10 to the seventh power colony forming units in one milliliter of substance.","C166096","10^7 CFU/mL","Ten Million Colony Forming Units Per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C166096"
"7633","Ten Million PFU;Ten Million Plaque Forming Units","A unit of measurement of plaque forming cells or microorganisms with numbers equal to 10 to the seventh power plaque forming units.","C67265","10^7 PFU","Ten Million Plaque Forming Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67265"
"7634","10^7 50 Percent Tissue Culture Infective Dose per Dose","A potency unit equal to the potency at which one dose of preparation contains ten million (10^7) 50 percent tissue culture infective doses.","C150416","10^7 TCID 50/dose","Ten Million Tissue Culture Infectious Dose 50%","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C150416"
"7635","10/mg;10^4/g","A unit of measurement equal to 10 to the seventh power of the number of entities per unit of mass equal to one kilogram.","C184717","10^7/kg","Ten Million Per Kilogram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C184717"
"7636","10^6/dL","A unit of measurement equal to 10 to the seventh power of the number of entities per unit of volume equal to one liter.","C98786","10^7/L","Ten Million per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C98786"
"7637","One Hundred Million International Units;One Hundred Million IU","A unit of biological activity equal to 10 to the eighth power international units.","C156119","10^8 IU","Hundred Million International Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C156119"
"7638","Hundred Million PFU;Hundred Million Plaque Forming Units","A unit of measurement of plaque forming cells or microorganisms with numbers equal to 10 to the eighth power of plaque forming units.","C67266","10^8 PFU","Hundred Million Plaque Forming Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67266"
"7639","10^8 50 Percent Tissue Culture Infective Dose per Dose","A potency unit equal to the potency at which one dose of preparation contains one million (10^8) 50 percent tissue culture infective doses.","C150417","10^8 TCID 50/dose","Hundred Million Tissue Culture Infectious Dose 50%","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C150417"
"7640","10^2/mm3;10^2/uL;10^5/mL","A unit of measurement equal to 10 to the eighth power of entities per unit of volume equal to one liter.","C105489","10^8/L","Hundred Million Per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C105489"
"7641","","A dosing unit for cells expressed as 10 to the ninth power.","C67247","10^9 cells","Billion Cells","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67247"
"7642","Billion CFU;Billion Colony Forming Units","A unit of measurement of colony forming cells or microorganisms equal to 10 to the ninth power colony forming units.","C68897","10^9 CFU","Billion Colony Forming Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68897"
"7643","Billion CFU/g;Billion Colony Forming Units per Gram","A unit of measurement of colony forming cells or microorganisms in a unit mass of substance of interest defined as the number of 10 to the ninth power colony forming units in one gram of substance.","C68901","10^9 CFU/g","Billion Colony Forming Units per Gram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68901"
"7644","Billion CFU/mL;Billion Colony Forming Units per Milliliter","A unit of measurement of colony forming cells or microorganisms in a unit volume of substance of interest defined as the number of 10 to the ninth power colony forming units in one milliliter of substance.","C68905","10^9 CFU/mL","Billion Colony Forming Units per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68905"
"7645","Billion Organisms","A unit of measure of quantity of organisms expressed in 10 to the ninth power of organisms.","C71189","10^9 organisms","Billion Organisms","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71189"
"7646","Billion Organisms per Gram;Billion Organisms/g","A unit of measure of organism content expressed in 10 to the ninth power of organisms per unit of mass equal to one gram.","C71192","10^9 organisms/g","Billion Organisms per Gram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71192"
"7647","Billion Organisms per Milligram;Billion Organisms/mg","A unit of measure of organism content expressed in 10 to the ninth power of organisms per unit of mass equal to one milligram.","C71194","10^9 organisms/mg","Billion Organisms per Milligram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71194"
"7648","Billion Organisms per Milliliter;Billion Organisms/mL","A unit of measure of organism concentration expressed in 10 to the ninth power of organisms per unit of volume equal to one milliliter.","C71197","10^9 organisms/mL","Billion Organisms per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71197"
"7649","Billion PFU;Billion Plaque Forming Units","A unit of measurement of infectious entities with numbers equal to 10 to the ninth power of plaque forming units.","C67267","10^9 PFU","Billion Plaque Forming Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67267"
"7650","","A dose calculation unit equal to 10 to the ninth power of the number of entities per single dose.","C163561","10^9/dose","Billion per Dose","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C163561"
"7651","/ng;1/ng;10^12/kg;10^3/ug;10^6/mg","A unit of measurement equal to 10 to the ninth power of the number of entities per unit of mass equal to one gram.","C122200","10^9/g","Billion per Gram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C122200"
"7652","/nL;1/nL;10^3/mm3;10^3/uL;10^6/mL;G/L;GI/L;Giga per Liter;K/cumm;Thou/mcL","A unit of measurement equal to 10 to the ninth power of the number of entities per unit of volume equal to one liter.","C67255","10^9/L","Billion per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67255"
"7653","Absorbance Unit","A unit of optical density expressed as a logarithm of absorbance of light transmitted through a partially absorbing substance.","C73686","Absorbance U","Absorbance Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73686"
"7654","Absorbance Unit per Minute","A unit of a speed of optical density change expressed as a logarithm of absorbance of light transmitted through a partially absorbing substance per minute. (NCI)","C73687","Absorbance U/min","Absorbance Unit per Minute","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73687"
"7655","","A unit of optical density expressed as a logarithm of absorbance of light transmitted through a partially absorbing substance per unit of volume equal to one milliliter.","C126078","Absorbance U/mL","Absorbance Unit per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C126078"
"7656","Arbitrary Fluorescence Unit","Arbitrary unit(s) of fluorescent luminescence. (NCI)","C77534","AFU","Arbitrary Fluorescence Units","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C77534"
"7657","Attogram","A unit of mass equal to one quintillionth of a gram (1E-18 gram). (NCI)","C64553","ag","Attogram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C64553"
"7658","Antigen Unit per Milliliter","A measure of an antigen potency defined as a number of antigen units per one milliliter of product.(NCI)","C70500","AgU/mL","Antigen Unit per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C70500"
"7659","Arithmetic Mean Fluorescence Intensity Unit","A unit of measure for the arithmetic mean fluorescence intensity.","C163562","aMFI","Arithmetic Mean Fluorescence Intensity Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C163562"
"7660","Attomole","A unit of amount of substance equal to one quintillionth of a mole (1E-18 mole). (NCI)","C68855","amol","Attomole","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68855"
"7661","Ampere","A unit of electric current, named after the French physicist Andre Ampere. It is that constant current which, if maintained in two straight parallel conductors of infinite length and zero diameter separated by one meter in a vacuum, would produce between these conductors a force equal to 2(1E7) Newton per meter of length. This is dependent upon the definitions of the meter, kilogram, and second. One Ampere represents 6.24 x 1(E18) unit electric charge carriers, such as electrons, passing a specified fixed point in one second. (NCI)","C42536","amp","Ampere","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C42536"
"7662","Ampule Dosing Unit","A dosing measurement based on the ampule unit.(NCI)","C48473","AMPULE","Ampule Dosing Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48473"
"7663","Atomic Mass Unit","A small unit of mass used to express atomic and molecular masses. (NCI)","C64559","amu","Atomic Mass Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C64559"
